open_covid_region_code,date,hospitalized_new
US-AK,2020-08-03,0.0
US-AK,2020-08-10,0.0
US-AK,2020-08-17,0.0
US-AK,2020-08-24,6.0
US-AK,2020-08-31,14.0
US-AK,2020-09-07,11.0
US-AK,2020-09-14,5.0
US-AK,2020-09-21,-36.0
US-AK,2020-09-28,0.0
US-AK,2020-10-05,0.0
US-AK,2020-10-12,0.0
US-AK,2020-10-19,0.0
US-AK,2020-10-26,0.0
US-AK,2020-11-02,0.0
US-AK,2020-11-09,0.0
US-AK,2020-11-16,0.0
US-AK,2020-11-23,0.0
US-AK,2020-11-30,0.0
US-AK,2020-12-07,0.0
US-AK,2020-12-14,0.0
US-AK,2020-12-21,0.0
US-AK,2020-12-28,0.0
US-AK,2021-01-04,0.0
US-AK,2021-01-11,0.0
US-AK,2021-01-18,0.0
US-AK,2021-01-25,0.0
US-AK,2021-02-01,0.0
US-AK,2021-02-08,0.0
US-AK,2021-02-15,0.0
US-AK,2021-02-22,0.0
US-AK,2021-03-01,0.0
US-AK,2021-03-08,0.0
US-AL,2020-08-03,0.0
US-AL,2020-08-10,0.0
US-AL,2020-08-17,0.0
US-AL,2020-08-24,0.0
US-AL,2020-08-31,231.0
US-AL,2020-09-07,206.0
US-AL,2020-09-14,204.0
US-AL,2020-09-21,204.0
US-AL,2020-09-28,190.0
US-AL,2020-10-05,205.0
US-AL,2020-10-12,152.0
US-AL,2020-10-19,220.0
US-AL,2020-10-26,232.0
US-AL,2020-11-02,178.0
US-AL,2020-11-09,233.0
US-AL,2020-11-16,205.0
US-AL,2020-11-23,243.0
US-AL,2020-11-30,206.0
US-AL,2020-12-07,3836.0
US-AL,2020-12-14,1037.0
US-AL,2020-12-21,1375.0
US-AL,2020-12-28,1364.0
US-AL,2021-01-04,1016.0
US-AL,2021-01-11,1070.0
US-AL,2021-01-18,895.0
US-AL,2021-01-25,765.0
US-AL,2021-02-01,647.0
US-AL,2021-02-08,613.0
US-AL,2021-02-15,700.0
US-AL,2021-02-22,625.0
US-AL,2021-03-01,568.0
US-AL,2021-03-08,569.0
US-AR,2020-08-03,0.0
US-AR,2020-08-10,0.0
US-AR,2020-08-17,0.0
US-AR,2020-08-24,0.0
US-AR,2020-08-31,130.0
US-AR,2020-09-07,0.0
US-AR,2020-09-14,161.0
US-AR,2020-09-21,0.0
US-AR,2020-09-28,136.0
US-AR,2020-10-05,44.0
US-AR,2020-10-12,49.0
US-AR,2020-10-19,78.0
US-AR,2020-10-26,113.0
US-AR,2020-11-02,133.0
US-AR,2020-11-09,154.0
US-AR,2020-11-16,154.0
US-AR,2020-11-23,221.0
US-AR,2020-11-30,163.0
US-AR,2020-12-07,286.0
US-AR,2020-12-14,355.0
US-AR,2020-12-21,365.0
US-AR,2020-12-28,352.0
US-AR,2021-01-04,390.0
US-AR,2021-01-11,286.0
US-AR,2021-01-18,350.0
US-AR,2021-01-25,262.0
US-AR,2021-02-01,280.0
US-AR,2021-02-08,257.0
US-AR,2021-02-15,248.0
US-AR,2021-02-22,268.0
US-AR,2021-03-01,315.0
US-AR,2021-03-08,255.0
US-AZ,2020-08-03,2.0
US-AZ,2020-08-10,30.0
US-AZ,2020-08-17,109.0
US-AZ,2020-08-24,282.0
US-AZ,2020-08-31,333.0
US-AZ,2020-09-07,314.0
US-AZ,2020-09-14,313.0
US-AZ,2020-09-21,329.0
US-AZ,2020-09-28,373.0
US-AZ,2020-10-05,332.0
US-AZ,2020-10-12,282.0
US-AZ,2020-10-19,323.0
US-AZ,2020-10-26,353.0
US-AZ,2020-11-02,468.0
US-AZ,2020-11-09,301.0
US-AZ,2020-11-16,107.0
US-AZ,2020-11-23,362.0
US-AZ,2020-11-30,544.0
US-AZ,2020-12-07,634.0
US-AZ,2020-12-14,837.0
US-AZ,2020-12-21,1074.0
US-AZ,2020-12-28,3665.0
US-AZ,2021-01-04,7897.0
US-AZ,2021-01-11,1487.0
US-AZ,2021-01-18,486.0
US-AZ,2021-01-25,180.0
US-AZ,2021-02-01,106.0
US-AZ,2021-02-08,246.0
US-AZ,2021-02-15,103.0
US-AZ,2021-02-22,139.0
US-AZ,2021-03-01,279.0
US-AZ,2021-03-08,-2123.0
US-CO,2020-08-03,0.0
US-CO,2020-08-10,0.0
US-CO,2020-08-17,49.0
US-CO,2020-08-24,225.0
US-CO,2020-08-31,601.0
US-CO,2020-09-07,501.0
US-CO,2020-09-14,421.0
US-CO,2020-09-21,613.0
US-CO,2020-09-28,383.0
US-CO,2020-10-05,830.0
US-CO,2020-10-12,243.0
US-CO,2020-10-19,239.0
US-CO,2020-10-26,228.0
US-CO,2020-11-02,147.0
US-CO,2020-11-09,764.0
US-CO,2020-11-16,79.0
US-CO,2020-11-23,76.0
US-CO,2020-11-30,151.0
US-CO,2020-12-07,335.0
US-CO,2020-12-14,134.0
US-CO,2020-12-21,242.0
US-CO,2020-12-28,204.0
US-CO,2021-01-04,137.0
US-CO,2021-01-11,125.0
US-CO,2021-01-18,104.0
US-CO,2021-01-25,162.0
US-CO,2021-02-01,141.0
US-CO,2021-02-08,89.0
US-CO,2021-02-15,134.0
US-CO,2021-02-22,163.0
US-CO,2021-03-01,146.0
US-CO,2021-03-08,105.0
US-CT,2020-08-03,0.0
US-CT,2020-08-10,0.0
US-CT,2020-08-17,0.0
US-CT,2020-08-24,0.0
US-CT,2020-08-31,0.0
US-CT,2020-09-07,0.0
US-CT,2020-09-14,0.0
US-CT,2020-09-21,0.0
US-CT,2020-09-28,7758.0
US-CT,2020-10-05,1631.0
US-CT,2020-10-12,1557.0
US-CT,2020-10-19,1592.0
US-CT,2020-10-26,0.0
US-CT,2020-11-02,-2869.0
US-CT,2020-11-09,243.0
US-CT,2020-11-16,187.0
US-CT,2020-11-23,169.0
US-CT,2020-11-30,143.0
US-CT,2020-12-07,141.0
US-CT,2020-12-14,102.0
US-CT,2020-12-21,58.0
US-CT,2020-12-28,95.0
US-CT,2021-01-04,113.0
US-CT,2021-01-11,95.0
US-CT,2021-01-18,72.0
US-CT,2021-01-25,93.0
US-CT,2021-02-01,95.0
US-CT,2021-02-08,82.0
US-CT,2021-02-15,90.0
US-CT,2021-02-22,113.0
US-CT,2021-03-01,139.0
US-CT,2021-03-08,146.0
US-FL,2020-08-03,0.0
US-FL,2020-08-10,0.0
US-FL,2020-08-17,185.0
US-FL,2020-08-24,409.0
US-FL,2020-08-31,978.0
US-FL,2020-09-07,1200.0
US-FL,2020-09-14,1158.0
US-FL,2020-09-21,1225.0
US-FL,2020-09-28,1089.0
US-FL,2020-10-05,1160.0
US-FL,2020-10-12,1074.0
US-FL,2020-10-19,1160.0
US-FL,2020-10-26,815.0
US-FL,2020-11-02,762.0
US-FL,2020-11-09,1009.0
US-FL,2020-11-16,1101.0
US-FL,2020-11-23,1215.0
US-FL,2020-11-30,1661.0
US-FL,2020-12-07,2389.0
US-FL,2020-12-14,2719.0
US-FL,2020-12-21,3112.0
US-FL,2020-12-28,3103.0
US-FL,2021-01-04,3369.0
US-FL,2021-01-11,3448.0
US-FL,2021-01-18,2562.0
US-FL,2021-01-25,1954.0
US-FL,2021-02-01,1630.0
US-FL,2021-02-08,1282.0
US-FL,2021-02-15,1170.0
US-FL,2021-02-22,1091.0
US-FL,2021-03-01,1185.0
US-FL,2021-03-08,790.0
US-GA,2020-08-03,0.0
US-GA,2020-08-10,0.0
US-GA,2020-08-17,0.0
US-GA,2020-08-24,666.0
US-GA,2020-08-31,617.0
US-GA,2020-09-07,1222.0
US-GA,2020-09-14,959.0
US-GA,2020-09-21,895.0
US-GA,2020-09-28,1034.0
US-GA,2020-10-05,604.0
US-GA,2020-10-12,793.0
US-GA,2020-10-19,649.0
US-GA,2020-10-26,507.0
US-GA,2020-11-02,739.0
US-GA,2020-11-09,563.0
US-GA,2020-11-16,589.0
US-GA,2020-11-23,874.0
US-GA,2020-11-30,1064.0
US-GA,2020-12-07,1484.0
US-GA,2020-12-14,1751.0
US-GA,2020-12-21,2081.0
US-GA,2020-12-28,1973.0
US-GA,2021-01-04,1564.0
US-GA,2021-01-11,1459.0
US-GA,2021-01-18,1282.0
US-GA,2021-01-25,1203.0
US-GA,2021-02-01,951.0
US-GA,2021-02-08,846.0
US-GA,2021-02-15,1008.0
US-GA,2021-02-22,802.0
US-GA,2021-03-01,779.0
US-GA,2021-03-08,428.0
US-HI,2020-08-03,0.0
US-HI,2020-08-10,0.0
US-HI,2020-08-17,0.0
US-HI,2020-08-24,12.0
US-HI,2020-08-31,7.0
US-HI,2020-09-07,25.0
US-HI,2020-09-14,7.0
US-HI,2020-09-21,17.0
US-HI,2020-09-28,4.0
US-HI,2020-10-05,9.0
US-HI,2020-10-12,1.0
US-HI,2020-10-19,2.0
US-HI,2020-10-26,-1.0
US-HI,2020-11-02,0.0
US-HI,2020-11-09,6.0
US-HI,2020-11-16,7.0
US-HI,2020-11-23,14.0
US-HI,2020-11-30,8.0
US-HI,2020-12-07,7.0
US-HI,2020-12-14,15.0
US-HI,2020-12-21,21.0
US-HI,2020-12-28,33.0
US-HI,2021-01-04,43.0
US-HI,2021-01-11,42.0
US-HI,2021-01-18,98.0
US-HI,2021-01-25,120.0
US-HI,2021-02-01,95.0
US-HI,2021-02-08,43.0
US-HI,2021-02-15,91.0
US-HI,2021-02-22,76.0
US-HI,2021-03-01,83.0
US-HI,2021-03-08,9.0
US-IA,2020-08-03,0.0
US-IA,2020-08-10,0.0
US-IA,2020-08-17,0.0
US-IA,2020-08-24,68.0
US-IA,2020-08-31,97.0
US-IA,2020-09-07,-165.0
US-IA,2020-09-14,0.0
US-IA,2020-09-21,0.0
US-IA,2020-09-28,0.0
US-IA,2020-10-05,0.0
US-IA,2020-10-12,0.0
US-IA,2020-10-19,0.0
US-IA,2020-10-26,0.0
US-IA,2020-11-02,0.0
US-IA,2020-11-09,0.0
US-IA,2020-11-16,0.0
US-IA,2020-11-23,0.0
US-IA,2020-11-30,0.0
US-IA,2020-12-07,0.0
US-IA,2020-12-14,0.0
US-IA,2020-12-21,0.0
US-IA,2020-12-28,0.0
US-IA,2021-01-04,0.0
US-IA,2021-01-11,0.0
US-IA,2021-01-18,0.0
US-IA,2021-01-25,0.0
US-IA,2021-02-01,0.0
US-IA,2021-02-08,0.0
US-IA,2021-02-15,0.0
US-IA,2021-02-22,0.0
US-IA,2021-03-01,0.0
US-IA,2021-03-08,0.0
US-ID,2020-08-03,0.0
US-ID,2020-08-10,0.0
US-ID,2020-08-17,0.0
US-ID,2020-08-24,36.0
US-ID,2020-08-31,30.0
US-ID,2020-09-07,65.0
US-ID,2020-09-14,20.0
US-ID,2020-09-21,18.0
US-ID,2020-09-28,31.0
US-ID,2020-10-05,7.0
US-ID,2020-10-12,6.0
US-ID,2020-10-19,12.0
US-ID,2020-10-26,17.0
US-ID,2020-11-02,18.0
US-ID,2020-11-09,6.0
US-ID,2020-11-16,17.0
US-ID,2020-11-23,29.0
US-ID,2020-11-30,47.0
US-ID,2020-12-07,109.0
US-ID,2020-12-14,115.0
US-ID,2020-12-21,140.0
US-ID,2020-12-28,133.0
US-ID,2021-01-04,132.0
US-ID,2021-01-11,115.0
US-ID,2021-01-18,143.0
US-ID,2021-01-25,119.0
US-ID,2021-02-01,101.0
US-ID,2021-02-08,130.0
US-ID,2021-02-15,115.0
US-ID,2021-02-22,100.0
US-ID,2021-03-01,89.0
US-ID,2021-03-08,72.0
US-IN,2020-08-03,0.0
US-IN,2020-08-10,0.0
US-IN,2020-08-17,1.0
US-IN,2020-08-24,-1.0
US-IN,2020-08-31,0.0
US-IN,2020-09-07,0.0
US-IN,2020-09-14,0.0
US-IN,2020-09-21,0.0
US-IN,2020-09-28,0.0
US-IN,2020-10-05,4389.0
US-IN,2020-10-12,0.0
US-IN,2020-10-19,896.0
US-IN,2020-10-26,0.0
US-IN,2020-11-02,851.0
US-IN,2020-11-09,283.0
US-IN,2020-11-16,369.0
US-IN,2020-11-23,215.0
US-IN,2020-11-30,251.0
US-IN,2020-12-07,273.0
US-IN,2020-12-14,368.0
US-IN,2020-12-21,506.0
US-IN,2020-12-28,447.0
US-IN,2021-01-04,506.0
US-IN,2021-01-11,581.0
US-IN,2021-01-18,346.0
US-IN,2021-01-25,562.0
US-IN,2021-02-01,522.0
US-IN,2021-02-08,384.0
US-IN,2021-02-15,394.0
US-IN,2021-02-22,453.0
US-IN,2021-03-01,552.0
US-IN,2021-03-08,389.0
US-KS,2020-08-03,0.0
US-KS,2020-08-10,0.0
US-KS,2020-08-17,0.0
US-KS,2020-08-24,55.0
US-KS,2020-08-31,128.0
US-KS,2020-09-07,115.0
US-KS,2020-09-14,92.0
US-KS,2020-09-21,95.0
US-KS,2020-09-28,62.0
US-KS,2020-10-05,110.0
US-KS,2020-10-12,67.0
US-KS,2020-10-19,63.0
US-KS,2020-10-26,55.0
US-KS,2020-11-02,75.0
US-KS,2020-11-09,56.0
US-KS,2020-11-16,62.0
US-KS,2020-11-23,93.0
US-KS,2020-11-30,91.0
US-KS,2020-12-07,85.0
US-KS,2020-12-14,149.0
US-KS,2020-12-21,143.0
US-KS,2020-12-28,155.0
US-KS,2021-01-04,124.0
US-KS,2021-01-11,145.0
US-KS,2021-01-18,139.0
US-KS,2021-01-25,119.0
US-KS,2021-02-01,137.0
US-KS,2021-02-08,122.0
US-KS,2021-02-15,134.0
US-KS,2021-02-22,145.0
US-KS,2021-03-01,167.0
US-KS,2021-03-08,138.0
US-KY,2020-08-03,0.0
US-KY,2020-08-10,0.0
US-KY,2020-08-17,0.0
US-KY,2020-08-24,0.0
US-KY,2020-08-31,0.0
US-KY,2020-09-07,459.0
US-KY,2020-09-14,600.0
US-KY,2020-09-21,207.0
US-KY,2020-09-28,145.0
US-KY,2020-10-05,346.0
US-KY,2020-10-12,139.0
US-KY,2020-10-19,235.0
US-KY,2020-10-26,141.0
US-KY,2020-11-02,89.0
US-KY,2020-11-09,72.0
US-KY,2020-11-16,89.0
US-KY,2020-11-23,68.0
US-KY,2020-11-30,95.0
US-KY,2020-12-07,94.0
US-KY,2020-12-14,101.0
US-KY,2020-12-21,386.0
US-KY,2020-12-28,516.0
US-KY,2021-01-04,220.0
US-KY,2021-01-11,191.0
US-KY,2021-01-18,169.0
US-KY,2021-01-25,198.0
US-KY,2021-02-01,153.0
US-KY,2021-02-08,173.0
US-KY,2021-02-15,140.0
US-KY,2021-02-22,167.0
US-KY,2021-03-01,169.0
US-KY,2021-03-08,452.0
US-MA,2020-06-22,0.0
US-MA,2020-06-29,0.0
US-MA,2020-07-06,0.0
US-MA,2020-07-13,0.0
US-MA,2020-07-20,0.0
US-MA,2020-07-27,0.0
US-MA,2020-08-03,0.0
US-MA,2020-08-10,0.0
US-MA,2020-08-17,71.0
US-MA,2020-08-24,328.0
US-MA,2020-08-31,1233.0
US-MA,2020-09-07,882.0
US-MA,2020-09-14,1275.0
US-MA,2020-09-21,1315.0
US-MA,2020-09-28,1403.0
US-MA,2020-10-05,1110.0
US-MA,2020-10-12,922.0
US-MA,2020-10-19,769.0
US-MA,2020-10-26,515.0
US-MA,2020-11-02,570.0
US-MA,2020-11-09,409.0
US-MA,2020-11-16,283.0
US-MA,2020-11-23,234.0
US-MA,2020-11-30,144.0
US-MA,2020-12-07,145.0
US-MA,2020-12-14,109.0
US-MA,2020-12-21,111.0
US-MA,2020-12-28,108.0
US-MA,2021-01-04,118.0
US-MA,2021-01-11,119.0
US-MA,2021-01-18,83.0
US-MA,2021-01-25,105.0
US-MA,2021-02-01,-11.0
US-MA,2021-02-08,81.0
US-MA,2021-02-15,114.0
US-MA,2021-02-22,100.0
US-MA,2021-03-01,104.0
US-MA,2021-03-08,81.0
US-MD,2020-08-03,0.0
US-MD,2020-08-10,0.0
US-MD,2020-08-17,0.0
US-MD,2020-08-24,277.0
US-MD,2020-08-31,659.0
US-MD,2020-09-07,924.0
US-MD,2020-09-14,1026.0
US-MD,2020-09-21,1076.0
US-MD,2020-09-28,1089.0
US-MD,2020-10-05,904.0
US-MD,2020-10-12,1038.0
US-MD,2020-10-19,946.0
US-MD,2020-10-26,799.0
US-MD,2020-11-02,808.0
US-MD,2020-11-09,619.0
US-MD,2020-11-16,379.0
US-MD,2020-11-23,249.0
US-MD,2020-11-30,278.0
US-MD,2020-12-07,349.0
US-MD,2020-12-14,421.0
US-MD,2020-12-21,442.0
US-MD,2020-12-28,463.0
US-MD,2021-01-04,431.0
US-MD,2021-01-11,437.0
US-MD,2021-01-18,342.0
US-MD,2021-01-25,299.0
US-MD,2021-02-01,318.0
US-MD,2021-02-08,278.0
US-MD,2021-02-15,268.0
US-MD,2021-02-22,279.0
US-MD,2021-03-01,307.0
US-MD,2021-03-08,193.0
US-ME,2020-08-03,0.0
US-ME,2020-08-10,0.0
US-ME,2020-08-17,0.0
US-ME,2020-08-24,0.0
US-ME,2020-08-31,86.0
US-ME,2020-09-07,34.0
US-ME,2020-09-14,16.0
US-ME,2020-09-21,23.0
US-ME,2020-09-28,24.0
US-ME,2020-10-05,16.0
US-ME,2020-10-12,17.0
US-ME,2020-10-19,36.0
US-ME,2020-10-26,31.0
US-ME,2020-11-02,15.0
US-ME,2020-11-09,16.0
US-ME,2020-11-16,22.0
US-ME,2020-11-23,10.0
US-ME,2020-11-30,13.0
US-ME,2020-12-07,12.0
US-ME,2020-12-14,4.0
US-ME,2020-12-21,6.0
US-ME,2020-12-28,7.0
US-ME,2021-01-04,5.0
US-ME,2021-01-11,7.0
US-ME,2021-01-18,8.0
US-ME,2021-01-25,12.0
US-ME,2021-02-01,4.0
US-ME,2021-02-08,7.0
US-ME,2021-02-15,8.0
US-ME,2021-02-22,6.0
US-ME,2021-03-01,9.0
US-ME,2021-03-08,5.0
US-MN,2020-08-03,0.0
US-MN,2020-08-10,0.0
US-MN,2020-08-17,12.0
US-MN,2020-08-24,63.0
US-MN,2020-08-31,127.0
US-MN,2020-09-07,159.0
US-MN,2020-09-14,213.0
US-MN,2020-09-21,255.0
US-MN,2020-09-28,370.0
US-MN,2020-10-05,458.0
US-MN,2020-10-12,433.0
US-MN,2020-10-19,498.0
US-MN,2020-10-26,459.0
US-MN,2020-11-02,320.0
US-MN,2020-11-09,243.0
US-MN,2020-11-16,187.0
US-MN,2020-11-23,213.0
US-MN,2020-11-30,160.0
US-MN,2020-12-07,229.0
US-MN,2020-12-14,228.0
US-MN,2020-12-21,293.0
US-MN,2020-12-28,321.0
US-MN,2021-01-04,314.0
US-MN,2021-01-11,296.0
US-MN,2021-01-18,300.0
US-MN,2021-01-25,303.0
US-MN,2021-02-01,265.0
US-MN,2021-02-08,212.0
US-MN,2021-02-15,232.0
US-MN,2021-02-22,330.0
US-MN,2021-03-01,394.0
US-MN,2021-03-08,300.0
US-MP,2020-08-17,0.0
US-MP,2020-08-24,0.0
US-MP,2020-08-31,0.0
US-MP,2020-09-07,0.0
US-MP,2020-09-14,0.0
US-MP,2020-09-21,0.0
US-MP,2020-09-28,0.0
US-MP,2020-10-05,0.0
US-MP,2020-10-12,0.0
US-MP,2020-10-19,0.0
US-MP,2020-10-26,0.0
US-MP,2020-11-02,0.0
US-MP,2020-11-09,0.0
US-MP,2020-11-16,0.0
US-MP,2020-11-23,0.0
US-MP,2020-11-30,0.0
US-MP,2020-12-07,4.0
US-MP,2020-12-14,0.0
US-MP,2020-12-21,0.0
US-MP,2020-12-28,0.0
US-MP,2021-01-04,0.0
US-MP,2021-01-11,0.0
US-MP,2021-01-18,0.0
US-MP,2021-01-25,0.0
US-MP,2021-02-01,0.0
US-MP,2021-02-08,0.0
US-MP,2021-02-15,0.0
US-MP,2021-02-22,0.0
US-MP,2021-03-01,0.0
US-MP,2021-03-08,0.0
US-MS,2020-08-03,0.0
US-MS,2020-08-10,0.0
US-MS,2020-08-17,33.0
US-MS,2020-08-24,202.0
US-MS,2020-08-31,240.0
US-MS,2020-09-07,73.0
US-MS,2020-09-14,260.0
US-MS,2020-09-21,193.0
US-MS,2020-09-28,297.0
US-MS,2020-10-05,233.0
US-MS,2020-10-12,242.0
US-MS,2020-10-19,250.0
US-MS,2020-10-26,249.0
US-MS,2020-11-02,250.0
US-MS,2020-11-09,143.0
US-MS,2020-11-16,102.0
US-MS,2020-11-23,335.0
US-MS,2020-11-30,166.0
US-MS,2020-12-07,227.0
US-MS,2020-12-14,232.0
US-MS,2020-12-21,255.0
US-MS,2020-12-28,332.0
US-MS,2021-01-04,292.0
US-MS,2021-01-11,310.0
US-MS,2021-01-18,233.0
US-MS,2021-01-25,151.0
US-MS,2021-02-01,26.0
US-MS,2021-02-08,84.0
US-MS,2021-02-15,89.0
US-MS,2021-02-22,108.0
US-MS,2021-03-01,368.0
US-MS,2021-03-08,78.0
US-MT,2020-08-03,0.0
US-MT,2020-08-10,0.0
US-MT,2020-08-17,0.0
US-MT,2020-08-24,8.0
US-MT,2020-08-31,16.0
US-MT,2020-09-07,23.0
US-MT,2020-09-14,8.0
US-MT,2020-09-21,6.0
US-MT,2020-09-28,0.0
US-MT,2020-10-05,1.0
US-MT,2020-10-12,1.0
US-MT,2020-10-19,2.0
US-MT,2020-10-26,2.0
US-MT,2020-11-02,2.0
US-MT,2020-11-09,8.0
US-MT,2020-11-16,12.0
US-MT,2020-11-23,8.0
US-MT,2020-11-30,15.0
US-MT,2020-12-07,16.0
US-MT,2020-12-14,37.0
US-MT,2020-12-21,34.0
US-MT,2020-12-28,34.0
US-MT,2021-01-04,39.0
US-MT,2021-01-11,54.0
US-MT,2021-01-18,53.0
US-MT,2021-01-25,53.0
US-MT,2021-02-01,54.0
US-MT,2021-02-08,39.0
US-MT,2021-02-15,45.0
US-MT,2021-02-22,117.0
US-MT,2021-03-01,57.0
